Title,Authors,Publisher,Citations,Year
Can quantum-mechanical description of physical reality be considered complete?,"A Einstein, B Podolsky, N Rosen","Physical Review 47 (10), 777",21833,1935
Uber einen die Erzeugung und Verwandlung des Lichtes betreffenden heurischen Gesichtpunkt,A Einstein,"Ann. Phys. 17, 132-148",19673,1905
On the movement of small particles suspended in stationary liquids required by the molecular-kinetic theory of heat,A Einstein,"Annalen der Physik 17, 549-560",16345,1905
Zur Elektrodynamik bewegter Körper,A Einstein,,6907,
On gravitational waves Sitzungsber. preuss,A Einstein,"Acad. Wiss 1, 154",6723,1918
Sitzungsber. K,A Einstein,"Preuss. Akad. Wiss., Phys. Math. Kl 3, 18",6587,1925
"Investigations on the theory of the Brownian movement, edited with notes by R",A Einstein,"Fiirth, Methuen and Co., London",6565,1926
Graviton Mass and Inertia Mass,A Einstein,"Ann Physik 35, 898",6502,1911
Berichtigung zu meiner Arbeit:„Eine neue Bestimmung der Moleküldimensionen” ︁,A Einstein,"Annalen der Physik 339 (3), 591-592",6484,2006
Sitzungsberichte der Preussischen Akademie der Wissenschaften zu Berlin,A Einstein,"Die Feldgleichungun der Gravitation, p844-847",6224,1915
On a Heuristic Point of View Toward the Emission and Transformation of Light,A Einstein,"Ann. Phys 17, 132",6008,1905
Eine neue bestimmung der moleküldimensionen,A Einstein,"Annalen der Physik 324 (2), 289-306",5452,1906
Die grundlage der allgemeinen relativitätstheorie,A Einstein,"Annalen der Physik 354 (7), 769-822",4813,2006
Sitzungsberichte der Preussischen Akad. d,A Einstein,"Wiss 142, 1917",4771,1917
The meaning of relativity,"A Einstein, EG Straus, S Bargmann",Princeton University Press,4167,1950
The special and general theory,A Einstein,English edition,4016,1920
Relativity: The Special and the General Theory: a Popular Exposition by Albert Einstein; Transl. by Robert W. Lawson,A Einstein,Crown,3968,1961
La relativité,A Einstein,Payot,3920,1964
Evolution of Physics,A Einstein,NY: Simon and Schuster,3903,1954
Näherungsweise Integration der Feldgleichungen der Gravitation,A Einstein,"Albert Einstein: Akademie‐Vorträge, 99-108",3784,1916
"Physics and Reality, in “Ideas and Opinions”",A Einstein,"Crown Books, New York, NY",3578,1954
Zur quantentheorie der strahlung,A Einstein,"Physikalische Zeitschrift 18, 121-128",3528,1917
The Science and the Life of Albert Einstein,"A Einstein, A Pais",Oxford University Press,3322,1982
THE EVOLUTION OF PHYSICS: THE GROWTH OF IDEAS FROM THE EARLY CON CEPTS TO RELATIVITY AND QUANTA.,"A Einstein, L Infeld",Cambridge University Press,3318,1938
Über die spezielle und die allgemeine Relativitätstheorie,A Einstein,Springer,3185,2008
Quanzeml~ orie der stralllung,A Einstein,"Afitzcl1.. C g~. ich 16, 47-62",3022,1916
"Preuss, Sitzungsber",A Einstein,"Akad. Wiss. Berlin Math. Phys 47, 778",2898,1915
Ideas and opinions,A Einstein,Three rivers press,2694,1995
Ideas and Opinions,AE Einstein,"Crown, New York, 337",2640,1954
Albert Einstein: Philosopher Scientist,A Einstein,Cambridge University Press,2438,1969
Über Gravitationswellen,A Einstein,"Albert Einstein: Akademie‐Vorträge, 135-149",2411,1918
Quantum theory of monatomic ideal gases,A Einstein,Sitzungsberichte der Preussichen Akademie der Wissenschaften Physikalisch …,2375,1924
Autobiographisches in: Albert Einstein: Philosopher-Scientist,A Einstein,"Tudor, Evanston, Illinois",2342,1949
Quantentheorie des einatomigen idealen Gases,A Einstein,"Akademie der Wissenshaften, in Kommission bei W. de Gruyter",2304,1924
Zur allgemeinen Relativitätstheorie,A Einstein,"Albert Einstein: Akademie‐Vorträge, 214-221",2197,1915
On the electrodynamics of moving bodies,A Einstein,"Annalen der Physik 17 (891), 50",2128,1905
Cosmological considerations on the general theory of relativity,A Einstein,"Cosmological Constants 1, 16",2059,1986
"Autobiographical Notes, ed",A Einstein,"Paul Arthur Schlipp, Open Court",2033,1979
Bemerkungen zu der Arbeit,A Einstein,"Zeitschrift für Mathematik und Physik 62, 260-261",1851,1914
Preussiche Akademie der Wissenchaften Berlin,"A Einstein, J Grommer",Sitzungsberichte,1733,1927
The foundation of the general theory of relativity,A Einstein,"Annalen Phys 49 (769-822), 31",1694,1916
Introduction Einstein's Relativity,"RA d'Inverno, A Einstein",Clarendon Press,1656,1992
Die feldgleichungen der gravitation,A Einstein,"Albert Einstein: Akademie‐Vorträge, 88-92",1561,1915
Die feldgleichungen der gravitation,A Einstein,Albert Einstein: Akademie-Vorträge: Sitzungsberichte der Preußischen …,1561,
Zur theorie der brownschen bewegung,A Einstein,"Annalen der physik 324 (2), 371-381",1468,1906
The particle problem in the general theory of relativity,"A Einstein, N Rosen","Physical Review 48 (1), 73",1330,1935
Le principe de relativité et ses conséquences dans la physique moderne,A Einstein,Bureau des Archives,1328,1910
Theorie der Opaleszenz von homogenen Flüssigkeiten und Flüssigkeitsgemischen in der Nähe des kritischen Zustandes,A Einstein,"Annalen der Physik 338 (16), 1275-1298",1310,2006
Concepts of space: The history of theories of space in physics,M Jammer,Harvard University Press,1305,1969
